L1,gender,subset,speakers,vowel,label,n_tokens,F1_obs,F1_SD,F1_Hil,dF1_Hil,F1_Hag,dF1_Hag,F2_obs,F2_SD,F2_Hil,dF2_Hil,F2_Hag,dF2_Hag
CMN,M,all,11,ɪ,ɪ  (hid),1700,397.0,65.0,427,-30.0,458,-61.0,2042.0,253.0,2034,8.0,1860,182.0
CMN,M,all,11,ɛ,ɛ  (head),1221,641.0,123.0,580,61.0,584,57.0,1651.0,172.0,1799,-148.0,1719,-68.0
CMN,M,all,11,æ,æ  (had),1298,699.0,110.0,588,111.0,761,-62.0,1632.0,177.0,1952,-320.0,1633,-1.0
CMN,M,all,11,ɑ,ɑ  (hod),660,705.0,111.0,768,-63.0,731,-26.0,1187.0,156.0,1333,-146.0,1118,69.0
CMN,M,all,11,ʊ,ʊ  (hood),222,405.0,66.0,469,-64.0,465,-60.0,1202.0,231.0,1122,80.0,1227,-25.0
CMN,M,all,11,u,u  (who'd),643,383.0,83.0,378,5.0,389,-6.0,1261.0,313.0,997,264.0,1395,-134.0
CMN,M,all,11,ʌ,ʌ  (hud),1298,664.0,131.0,623,41.0,687,-23.0,1321.0,149.0,1200,121.0,1233,88.0
CMN,M,stressed,11,i,i  (heed),719,350.0,53.0,342,8.0,294,56.0,2107.0,234.0,2322,-215.0,2208,-101.0
CMN,M,stressed,11,ɪ,ɪ  (hid),1399,400.0,63.0,427,-27.0,458,-58.0,2037.0,246.0,2034,3.0,1860,177.0
CMN,M,stressed,11,ɛ,ɛ  (head),1216,641.0,122.0,580,61.0,584,57.0,1650.0,172.0,1799,-149.0,1719,-69.0
CMN,M,stressed,11,æ,æ  (had),1290,699.0,110.0,588,111.0,761,-62.0,1631.0,177.0,1952,-321.0,1633,-2.0
CMN,M,stressed,11,ɑ,ɑ  (hod),660,705.0,111.0,768,-63.0,731,-26.0,1187.0,156.0,1333,-146.0,1118,69.0
CMN,M,stressed,11,ʊ,ʊ  (hood),222,405.0,66.0,469,-64.0,465,-60.0,1202.0,231.0,1122,80.0,1227,-25.0
CMN,M,stressed,11,u,u  (who'd),628,382.0,83.0,378,4.0,389,-7.0,1257.0,314.0,997,260.0,1395,-138.0
CMN,M,stressed,11,ʌ,ʌ  (hud),1298,664.0,131.0,623,41.0,687,-23.0,1321.0,149.0,1200,121.0,1233,88.0
CMN,M,citation,11,i,i  (heed),268,345.0,51.0,342,3.0,294,51.0,2171.0,223.0,2322,-151.0,2208,-37.0
CMN,M,citation,11,ɪ,ɪ  (hid),232,406.0,70.0,427,-21.0,458,-52.0,2063.0,247.0,2034,29.0,1860,203.0
CMN,M,citation,11,ɛ,ɛ  (head),602,675.0,117.0,580,95.0,584,91.0,1668.0,160.0,1799,-131.0,1719,-51.0
CMN,M,citation,11,æ,æ  (had),454,740.0,105.0,588,152.0,761,-21.0,1633.0,169.0,1952,-319.0,1633,-0.0
CMN,M,citation,11,ɑ,ɑ  (hod),313,719.0,108.0,768,-49.0,731,-12.0,1154.0,146.0,1333,-179.0,1118,36.0
CMN,M,citation,11,ʊ,ʊ  (hood),65,420.0,72.0,469,-49.0,465,-45.0,1122.0,210.0,1122,-0.0,1227,-105.0
CMN,M,citation,11,u,u  (who'd),227,386.0,73.0,378,8.0,389,-3.0,1142.0,305.0,997,145.0,1395,-253.0
CMN,M,citation,11,ʌ,ʌ  (hud),306,739.0,120.0,623,116.0,687,52.0,1313.0,120.0,1200,113.0,1233,80.0
KOR,F,all,7,i,i  (heed),1183,411.0,86.0,437,-26.0,437,-26.0,2596.0,319.0,2761,-165.0,2685,-89.0
KOR,F,all,7,ɪ,ɪ  (hid),1074,478.0,90.0,483,-5.0,595,-117.0,2379.0,337.0,2365,14.0,2289,90.0
KOR,F,all,7,ɛ,ɛ  (head),798,702.0,119.0,731,-29.0,748,-46.0,1994.0,277.0,2058,-64.0,2099,-105.0
KOR,F,all,7,æ,æ  (had),882,790.0,110.0,669,121.0,914,-124.0,1987.0,267.0,2349,-362.0,2046,-59.0
KOR,F,all,7,ɑ,ɑ  (hod),446,777.0,105.0,936,-159.0,861,-84.0,1352.0,201.0,1551,-199.0,1437,-85.0
KOR,F,all,7,ʊ,ʊ  (hood),133,503.0,80.0,519,-16.0,575,-72.0,1624.0,317.0,1225,399.0,1521,103.0
KOR,F,all,7,u,u  (who'd),327,428.0,86.0,459,-31.0,470,-42.0,1626.0,406.0,1105,521.0,1700,-74.0
KOR,F,all,7,ʌ,ʌ  (hud),926,702.0,117.0,753,-51.0,799,-97.0,1482.0,198.0,1426,56.0,1567,-85.0
KOR,F,stressed,7,i,i  (heed),508,407.0,81.0,437,-30.0,437,-30.0,2636.0,284.0,2761,-125.0,2685,-49.0
KOR,F,stressed,7,ɪ,ɪ  (hid),875,486.0,87.0,483,3.0,595,-109.0,2375.0,338.0,2365,10.0,2289,86.0
KOR,F,stressed,7,ɛ,ɛ  (head),795,703.0,118.0,731,-28.0,748,-45.0,1993.0,277.0,2058,-65.0,2099,-106.0
KOR,F,stressed,7,æ,æ  (had),881,790.0,110.0,669,121.0,914,-124.0,1986.0,267.0,2349,-363.0,2046,-60.0
KOR,F,stressed,7,ɑ,ɑ  (hod),446,777.0,105.0,936,-159.0,861,-84.0,1352.0,201.0,1551,-199.0,1437,-85.0
KOR,F,stressed,7,ʊ,ʊ  (hood),133,503.0,80.0,519,-16.0,575,-72.0,1624.0,317.0,1225,399.0,1521,103.0
KOR,F,stressed,7,u,u  (who'd),321,428.0,87.0,459,-31.0,470,-42.0,1621.0,407.0,1105,516.0,1700,-79.0
KOR,F,stressed,7,ʌ,ʌ  (hud),926,702.0,117.0,753,-51.0,799,-97.0,1482.0,198.0,1426,56.0,1567,-85.0
KOR,F,citation,7,i,i  (heed),235,411.0,82.0,437,-26.0,437,-26.0,2677.0,279.0,2761,-84.0,2685,-8.0
KOR,F,citation,7,ɪ,ɪ  (hid),188,485.0,95.0,483,2.0,595,-110.0,2473.0,322.0,2365,108.0,2289,184.0
KOR,F,citation,7,ɛ,ɛ  (head),435,731.0,114.0,731,-0.0,748,-17.0,2013.0,257.0,2058,-45.0,2099,-86.0
KOR,F,citation,7,æ,æ  (had),336,836.0,96.0,669,167.0,914,-78.0,1970.0,253.0,2349,-379.0,2046,-76.0
KOR,F,citation,7,ɑ,ɑ  (hod),218,805.0,97.0,936,-131.0,861,-56.0,1315.0,182.0,1551,-236.0,1437,-122.0
KOR,F,citation,7,ʊ,ʊ  (hood),40,512.0,72.0,519,-7.0,575,-63.0,1556.0,364.0,1225,331.0,1521,35.0
KOR,F,citation,7,u,u  (who'd),116,448.0,82.0,459,-11.0,470,-22.0,1520.0,386.0,1105,415.0,1700,-180.0
KOR,F,citation,7,ʌ,ʌ  (hud),185,798.0,103.0,753,45.0,799,-1.0,1439.0,189.0,1426,13.0,1567,-128.0
KOR,M,all,4,i,i  (heed),598,352.0,62.0,342,10.0,294,58.0,2125.0,206.0,2322,-197.0,2208,-83.0
KOR,M,all,4,ɪ,ɪ  (hid),540,359.0,60.0,427,-68.0,458,-99.0,2058.0,217.0,2034,24.0,1860,198.0
KOR,M,all,4,ɛ,ɛ  (head),429,573.0,90.0,580,-7.0,584,-11.0,1670.0,155.0,1799,-129.0,1719,-49.0
